id,name,result,wpca:d1,wpca:d2,color,r,opacity,party
mp_AdrianaAnastasov,"Anastasov, Adriana (SNS)",1,1.237935265,-0.058597316,blue,0.05,0.7,SNS
mp_AleksandarDrPeranovic,"Peranovic, Aleksandar (SNS)",1,1.236139419,-0.053659347,blue,0.05,0.7,SNS
mp_AleksandarDrRadojevic,"Radojevic, Aleksandar (Non-affiliated)",1,1.083665377,0.001921206,grey,0.05,0.7,Non-affiliated
mp_AleksandarChotric,"Cotric, Aleksandar (SPO)",1,0.693269667,0.26996857,darkkhakki,0.05,0.7,SPO
mp_AleksandarJovichic,"Jovicic, Aleksandar (SNS)",1,0.892176579,0.260447002,blue,0.05,0.7,SNS
mp_AleksandarJugovic,"Jugovic, Aleksandar (SPO)",1,0.644813689,0.029510365,darkkhakki,0.05,0.7,SPO
mp_AleksandarMarkovic,"Markovic, Aleksandar (SNS)",1,1.241560922,-0.026409995,blue,0.05,0.7,SNS
mp_AleksandarMartinovic,"Martinovic, Aleksandar (SNS)",1,1.173727964,-0.035471803,blue,0.05,0.7,SNS
mp_AleksandarPajovic,"Pajovic, Aleksandar (SNS)",1,0.665251137,-0.582615831,blue,0.05,0.7,SNS
mp_AleksandarSenic,"Senic, Aleksandar (SDS)",1,-10.05424403,-0.763646398,cyan,0.05,0.7,SDS
mp_AleksandraDjurovic,"Djurovic, Aleksandra (SNS)",1,0.298591031,-0.508519734,blue,0.05,0.7,SNS
mp_AleksandraDrTomic,"Tomic, Aleksandra (SNS)",1,1.169992198,0.017775541,blue,0.05,0.7,SNS
mp_AleksandraMaletic,"Maletic, Aleksandra (SNS)",1,1.143072574,0.017318862,blue,0.05,0.7,SNS
mp_AleksandraMrJerkov,"Jerkov, Aleksandra (DS)",1,-2.754180263,1.27797889,gold,0.05,0.7,DS
mp_AnaFilipovic,"Filipovic, Ana (SNS)",1,0.156053524,-0.075585478,blue,0.05,0.7,SNS
mp_AnnamáriaVicsekAnamarijaVichek,"Vicek, Anamarija (SVM)",1,0.242771138,-0.588675221,green,0.05,0.7,SVM
mp_ÁrpádFremondArpadFremond,"Fremond, Árpád (SVM)",1,0.124057405,-0.85097628,green,0.05,0.7,SVM
mp_BálintPásztorBalintPastor,"Pásztor, Bálint (SVM)",1,0.568656912,-0.533450918,green,0.05,0.7,SVM
mp_BiljanaHasanovicKorac,"Hasanovic Korac, Biljana (Non-affiliated)",1,-8.698088395,0.770761503,grey,0.05,0.7,Non-affiliated
mp_BiljanaIlicStoshic,"Ilic Stosic, Biljana (SNS)",1,0.881334671,0.07686621,blue,0.05,0.7,SNS
mp_BiljanaPanticPilja,"Pantic Pilja, Biljana (SNS)",1,1.05152114,-0.235595877,blue,0.05,0.7,SNS
mp_BiljanaSavovic,"Savovic, Biljana (SNS)",1,1.257542327,-0.075997125,blue,0.05,0.7,SNS
mp_BlagojeDrBradic,"Bradic, Blagoje (ZZS)",1,-8.013607433,2.512211904,darkgrey,0.05,0.7,ZZS
mp_BobanDrBirmanchevic,"Birmancevic, Boban (SNS)",1,0.442208225,-0.368333665,blue,0.05,0.7,SNS
mp_BojanZiric,"Ziric, Bojan (NSN)",1,0.665488993,0.280122935,darkgrey,0.05,0.7,NSN
mp_BorisavKovachevic,"Kovacevic, Borisav (PUPS)",1,0.547092293,-0.44140605,darkred,0.05,0.7,PUPS
mp_BorislavStefanovic,"Stefanovic, Borislav (DS)",1,-4.880167447,4.56197116,gold,0.05,0.7,DS
mp_BranislavDrBlazhic,"Blazic, Branislav (SNS)",1,0.879971122,0.039649602,blue,0.05,0.7,SNS
mp_BrankaBoshnjak,"Bosnjak, Branka (SDPS)",1,1.16010147,0.024278555,orange,0.05,0.7,SDPS
mp_BrankaJankovic,"Jankovic, Branka (SNS)",1,-0.228502253,-0.010277891,blue,0.05,0.7,SNS
